区,町,ふりがな,番地,燃えるゴミ,燃えないゴミボンベ・スプレー,,容器包装プラスチック,,缶・びん・ペットボトル,,備考,,パターン,
,,,丁番地,毎週,第何週,曜日,第何週,曜日,第何週,曜日,更新日など,,旧年度,新年度
東灘区,魚崎南町,うおざきみなみまち,1丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,あ,11,11
東灘区,魚崎南町,うおざきみなみまち,2丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,あ,11,11
東灘区,魚崎南町,うおざきみなみまち,3丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎南町,うおざきみなみまち,4丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎南町,うおざきみなみまち,5丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎南町,うおざきみなみまち,6丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,あ,11,11
東灘区,魚崎南町,うおざきみなみまち,7丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎南町,うおざきみなみまち,8丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎北町,うおざききたまち,1丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎北町,うおざききたまち,2丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎北町,うおざききたまち,3丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎北町,うおざききたまち,4丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎北町,うおざききたまち,5丁目,月木,13,火,毎週,金,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,あ,1,1
東灘区,魚崎北町,うおざききたまち,6丁目,月木,13,火,毎週,金,毎週,水,,あ,1,1
東灘区,魚崎北町,うおざききたまち,7丁目,月木,13,火,毎週,金,毎週,水,,あ,1,1
東灘区,魚崎北町,うおざききたまち,8丁目,月木,13,火,毎週,金,毎週,水,,あ,1,1
東灘区,魚崎中町,うおざきなかまち,1丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,あ,11,11
東灘区,魚崎中町,うおざきなかまち,2丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎中町,うおざきなかまち,3丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎中町,うおざきなかまち,4丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,魚崎西町,うおざきにしまち,1丁目,月木,24,火,毎週,金,毎週,水,,あ,3,3
東灘区,魚崎西町,うおざきにしまち,2丁目,月木,24,火,毎週,金,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,あ,3,3
東灘区,魚崎西町,うおざきにしまち,3丁目,月木,24,火,毎週,金,毎週,水,,あ,3,3
東灘区,魚崎西町,うおざきにしまち,4丁目,月木,13,火,毎週,金,毎週,水,,あ,1,1
東灘区,魚崎浜町,うおざきはままち,,月木,13,金,毎週,水,毎週,水,地域内に「燃えるごみ」のクリーンステーションしかない場合、「缶・びん・ペットボトル」「容器包装プラスチック」「燃えないごみ」「カセットボンベ・スプレー缶」の収集日については、環境局東灘事業所（電話：078-841-0161）へお問合せください。,あ,11,11
東灘区,渦森台,うずもりだい,1丁目,火金,13,月,毎週,木,毎週,水,,あ,5,5
東灘区,渦森台,うずもりだい,2丁目,火金,13,月,毎週,木,毎週,水,,あ,5,5
東灘区,渦森台,うずもりだい,3丁目,火金,13,月,毎週,木,毎週,水,,あ,5,5
東灘区,渦森台,うずもりだい,4丁目,火金,13,月,毎週,木,毎週,水,,あ,5,5
東灘区,青木,おうぎ,2丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,あ,11,11
東灘区,青木,おうぎ,3丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,あ,11,11
東灘区,青木,おうぎ,4丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,あ,4,4
東灘区,青木,おうぎ,5丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,青木,おうぎ,6丁目,月木,13,金,毎週,水,毎週,水,,あ,11,11
東灘区,岡本,おかもと,1丁目,火金,13,木,毎週,月,毎週,水,,あ,6,6
東灘区,岡本,おかもと,2丁目,火金,13,木,毎週,月,毎週,水,,あ,6,6
東灘区,岡本,おかもと,3丁目,火金,13,木,毎週,月,毎週,水,,あ,6,6
東灘区,岡本,おかもと,4丁目,火金,13,木,毎週,月,毎週,水,,あ,6,6
東灘区,岡本,おかもと,5丁目,火金,13,木,毎週,月,毎週,水,,あ,6,6
東灘区,岡本,おかもと,6丁目,火金,13,木,毎週,月,毎週,水,,あ,6,6
東灘区,岡本,おかもと,7丁目,火金,13,木,毎週,月,毎週,水,,あ,6,6
東灘区,岡本,おかもと,8丁目,火金,13,木,毎週,月,毎週,水,,あ,6,6
東灘区,岡本,おかもと,9丁目,火金,13,木,毎週,月,毎週,水,,あ,6,6
東灘区,鴨子ケ原,かもこがはら,1丁目,火金,24,月,毎週,木,毎週,水,,か,7,7
東灘区,鴨子ケ原,かもこがはら,2丁目,火金,24,月,毎週,木,毎週,水,,か,7,7
東灘区,鴨子ケ原,かもこがはら,3丁目,火金,13,月,毎週,木,毎週,水,,か,5,5
東灘区,北青木,きたおうぎ,1丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,か,4,4
東灘区,北青木,きたおうぎ,2丁目,月木,13,金,毎週,水,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,か,11,11
東灘区,北青木,きたおうぎ,3丁目,月木,13,金,毎週,水,毎週,水,,か,11,11
東灘区,北青木,きたおうぎ,4丁目,月木,13,金,毎週,水,毎週,水,,か,11,11
東灘区,甲南町,こうなんちょう,1丁目,月木,13,火,毎週,金,毎週,水,,か,1,1
東灘区,甲南町,こうなんちょう,2丁目,月木,13,火,毎週,金,毎週,水,,か,1,1
東灘区,甲南町,こうなんちょう,3丁目,月木,13,火,毎週,金,毎週,水,,か,1,1
東灘区,甲南町,こうなんちょう,4丁目,月木,13,火,毎週,金,毎週,水,,か,1,1
東灘区,甲南町,こうなんちょう,5丁目,月木,13,火,毎週,金,毎週,水,この地域は、同じ町内に「容器包装プラスチック」の収集日が異なる地域があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,か,1,1
東灘区,甲南台,こうなんだい,,火金,24,木,毎週,月,毎週,水,,か,8,8
東灘区,向洋町中,こうようちょうなか,1丁目,月木,24,火,毎週,水,毎週,水,,か,15,15
東灘区,向洋町中,こうようちょうなか,2丁目,月木,24,火,毎週,水,毎週,水,,か,15,15
東灘区,向洋町中,こうようちょうなか,3丁目,月木,24,火,毎週,水,毎週,水,,か,15,15
東灘区,向洋町中,こうようちょうなか,5丁目,月木,24,火,毎週,水,毎週,水,,か,15,15
東灘区,向洋町中,こうようちょうなか,6丁目,月木,24,火,毎週,水,毎週,水,,か,15,15
東灘区,向洋町中,こうようちょうなか,7丁目,月木,24,火,毎週,水,毎週,水,,か,15,15
東灘区,向洋町中,こうようちょうなか,9丁目,月木,24,火,毎週,水,毎週,水,,か,15,15
東灘区,住吉東町,すみよしひがしまち,1丁目,月木,13,火,毎週,金,毎週,水,,さ,1,1
東灘区,住吉東町,すみよしひがしまち,2丁目,月木,13,火,毎週,金,毎週,水,この地域は、同じ町内に「容器包装プラスチック」の収集日が異なる地域があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,さ,1,1
東灘区,住吉東町,すみよしひがしまち,3丁目,月木,13,火,毎週,金,毎週,水,,さ,1,1
東灘区,住吉東町,すみよしひがしまち,4丁目,月木,13,火,毎週,金,毎週,水,,さ,1,1
東灘区,住吉東町,すみよしひがしまち,5丁目,火金,24,月,毎週,木,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,さ,7,7
東灘区,住吉本町,すみよしほんまち,1丁目,火金,24,月,毎週,木,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,さ,7,7
東灘区,住吉本町,すみよしほんまち,2丁目,火金,24,月,毎週,木,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,さ,7,7
東灘区,住吉本町,すみよしほんまち,3丁目,火金,24,月,毎週,木,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,さ,7,7
東灘区,住吉南町,すみよしみなみまち,1丁目,月木,24,火,毎週,金,毎週,水,,さ,3,3
東灘区,住吉南町,すみよしみなみまち,2丁目,月木,24,火,毎週,金,毎週,水,,さ,3,3
東灘区,住吉南町,すみよしみなみまち,3丁目,月木,24,火,毎週,金,毎週,水,,さ,3,3
東灘区,住吉南町,すみよしみなみまち,4丁目,月木,24,火,毎週,金,毎週,水,,さ,3,3
東灘区,住吉南町,すみよしみなみまち,5丁目,月木,24,火,毎週,金,毎週,水,,さ,3,3
