資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）,,,,,,,
50音,町名,丁目,資源（週1回）,可燃ごみ（週2回）,不燃ごみ（月2回）,ペットボトル（月2回）,管轄清掃事務所
あ,赤堤,1・3～5,木曜日,水曜日・土曜日,2回目・4回目の月曜日,1回目・3回目の月曜日,世田谷
あ,赤堤,2,土曜日,火曜日・金曜日,2回目・4回目の木曜日,1回目・3回目の木曜日,世田谷
い,池尻,1・2,金曜日,月曜日・木曜日,2回目・4回目の火曜日,1回目・3回目の火曜日,世田谷
い,池尻,3,金曜日,月曜日・木曜日,1回目・3回目の土曜日,2回目・4回目の土曜日,世田谷
い,池尻,4,水曜日,月曜日・木曜日,1回目・3回目の土曜日,2回目・4回目の土曜日,世田谷
う,宇奈根,1～3,月曜日,火曜日・金曜日,2回目・4回目の土曜日,1回目・3回目の土曜日,砧
う,梅丘,1～3,土曜日,火曜日・金曜日,2回目・4回目の水曜日,1回目・3回目の水曜日,世田谷
お,大蔵,1～4,木曜日,火曜日・金曜日,1回目・3回目の土曜日,2回目・4回目の土曜日,砧
お,大蔵,5・6,月曜日,火曜日・金曜日,1回目・3回目の水曜日,2回目・4回目の水曜日,砧
お,大原,1,水曜日,月曜日・木曜日,2回目・4回目の土曜日,1回目・3回目の土曜日,世田谷
お,大原,2,土曜日,火曜日・金曜日,1回目・3回目の木曜日,2回目・4回目の木曜日,世田谷
お,岡本,1～3,木曜日,火曜日・金曜日,2回目・4回目の土曜日,1回目・3回目の土曜日,砧
お,奥沢,1・3・4,水曜日,月曜日・木曜日,1回目・3回目の金曜日,2回目・4回目の金曜日,玉川
お,奥沢,2・5・6,水曜日,月曜日・木曜日,2回目・4回目の金曜日,1回目・3回目の金曜日,玉川
お,奥沢,7,土曜日,月曜日・木曜日,1回目・3回目の火曜日,2回目・4回目の火曜日,玉川
お,奥沢,8,土曜日,月曜日・木曜日,2回目・4回目の金曜日,1回目・3回目の金曜日,玉川
お,尾山台,1～3,土曜日,月曜日・木曜日,2回目・4回目の火曜日,1回目・3回目の火曜日,玉川
か,粕谷,1・2,金曜日,水曜日・土曜日,2回目・4回目の木曜日,1回目・3回目の木曜日,砧
か,粕谷,3・4,火曜日,水曜日・土曜日,2回目・4回目の木曜日,1回目・3回目の木曜日,砧
か,鎌田,1～4,木曜日,火曜日・金曜日,2回目・4回目の土曜日,1回目・3回目の土曜日,砧
か,上馬,1,金曜日,月曜日・木曜日,2回目・4回目の火曜日,1回目・3回目の火曜日,世田谷
か,上馬,2～5,月曜日,火曜日・金曜日,1回目・3回目の水曜日,2回目・4回目の水曜日,世田谷
