ゴミ分類区分,地区名,地区名(英語),収集曜日,祝日の収集,特別に収集する日,特別に収集しない日,適用開始日,適用終了日,標準地域コード
燃やすごみ,大井1丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大井1丁目,"",第２木・第４木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大井1丁目,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大井2丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大井2丁目,"",第２木・第４木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大井2丁目,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大井4丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大井4丁目,"",第２木・第４木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大井4丁目,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大井3丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大井3丁目,"",第２木・第４木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大井3丁目,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大井5丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大井5丁目,"",第２木・第４木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大井5丁目,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大井6丁目,"",第１月・第３月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大井6丁目,"",第１月・第３月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大井6丁目,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大井7丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大井7丁目,"",第１月・第３月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大井7丁目,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大崎１丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大崎１丁目,"",第２土・第４土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大崎１丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大崎2丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大崎2丁目,"",第２土・第４土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大崎2丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大崎3丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大崎3丁目,"",第２土・第４土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大崎3丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大崎4丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大崎4丁目,"",第２土・第４土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大崎4丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,大崎5丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,大崎5丁目,"",第２土・第４土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,大崎5丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,勝島1丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,勝島1丁目,"",第２月・第４月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,勝島1丁目,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,勝島2丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,勝島2丁目,"",第２水・第４水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,勝島2丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,勝島3丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,勝島3丁目,"",第２月・第４月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,勝島3丁目,"",土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,上大崎1丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,上大崎1丁目,"",第１土・第３土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,上大崎1丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,上大崎2丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,上大崎2丁目,"",第１水・第３水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,上大崎2丁目,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,上大崎3丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,上大崎3丁目,"",第１水・第３水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,上大崎3丁目,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,上大崎4丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,上大崎4丁目,"",第１水・第３水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,上大崎4丁目,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,北品川1丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,北品川1丁目,"",第1火・第3火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,北品川1丁目,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,北品川2丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,北品川2丁目,"",第1火・第3火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,北品川2丁目,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,北品川3丁目,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,北品川3丁目,"",第2金・第4金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,北品川3丁目,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,北品川4丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,北品川4丁目,"",第2土・第4土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,北品川4丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,北品川5丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,北品川5丁目,"",第2土・第4土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,北品川5丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,北品川6丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
